#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
63752,10.000,10.114,-11.47
63803,10.000,10.167,-8.01
63854,10.000,10.239,-9.14
63905,10.000,10.123,-4.26
63956,10.000,10.113,-6.29
64008,10.000,9.934,-1.12
64059,10.000,9.888,-3.29
64110,10.000,9.793,-1.31
64161,10.000,9.867,-5.41
64212,10.000,9.752,-0.42
64264,10.000,10.051,-11.73
64315,10.000,10.068,-6.26
64366,10.000,10.128,-7.72
64417,10.000,10.215,-9.22
64468,10.000,10.117,-4.53
64520,10.000,9.980,-2.39
64571,10.000,9.940,-3.90
64622,10.000,10.047,-7.93
64673,10.000,10.036,-5.48
64724,10.000,9.824,0.72
64776,10.000,9.805,-2.92
64827,10.000,10.003,-9.24
64878,10.000,10.004,-5.33
64929,10.000,10.120,-8.79
64980,10.000,10.171,-8.05
65032,10.000,10.029,-2.78
65083,10.000,9.871,-0.83
65134,10.000,9.964,-6.79
65185,10.000,10.018,-6.55
65236,10.000,9.894,-1.74
65288,10.000,9.967,-6.38
65339,10.000,9.897,-2.82
65390,10.000,10.047,-8.73
65441,10.000,10.166,-9.31
