#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
32366,10.000,12.470,-21.56
32417,10.000,12.592,-28.37
32468,10.000,12.440,-21.36
32520,10.000,12.576,-28.47
32571,10.000,12.984,-37.99
32622,10.000,12.989,-30.01
32673,10.000,12.641,-19.43
32724,10.000,12.366,-18.16
32776,10.000,12.489,-27.35
32827,10.000,12.443,-23.52
32878,10.000,12.404,-23.25
32929,10.000,12.346,-22.32
32980,10.000,12.067,-15.09
33032,10.000,12.005,-18.81
33083,10.000,12.167,-24.90
33134,10.000,12.272,-24.83
33185,10.000,12.272,-22.73
33236,10.000,11.721,-6.18
33288,10.000,12.054,-27.19
33339,10.000,11.631,-7.85
33390,10.000,11.935,-25.45
33441,10.000,12.131,-25.21
33492,10.000,12.214,-23.80
33544,10.000,12.073,-17.91
33595,10.000,12.475,-32.78
33646,10.000,12.580,-27.90
33697,10.000,12.907,-35.60
33748,10.000,12.773,-25.05
33800,10.000,12.932,-32.52
33851,10.000,12.890,-28.04
33902,10.000,13.076,-34.48
33953,10.000,13.246,-35.86
34004,10.000,13.248,-32.53
34056,10.000,12.883,-21.52
34107,10.000,12.624,-21.08
34158,10.000,12.724,-29.24
34209,10.000,12.618,-24.05
34260,10.000,12.873,-33.82
34312,10.000,12.747,-24.97
34363,10.000,12.283,-13.54
34414,10.000,12.418,-26.89
34465,10.000,12.616,-30.13
34516,10.000,12.954,-36.31
34568,10.000,13.078,-33.24
34619,10.000,12.913,-25.82
34670,10.000,13.244,-39.08
34721,10.000,12.985,-24.67
34772,10.000,13.187,-35.92
34824,10.000,13.139,-30.41
34875,10.000,12.741,-19.46
34926,10.000,12.291,-13.90
34977,10.000,12.363,-25.07
35028,10.000,12.399,-24.71
35080,10.000,12.452,-25.58
35131,10.000,12.411,-23.29
35182,10.000,12.735,-33.84
35233,10.000,12.339,-15.48
35284,10.000,12.774,-36.42
35336,10.000,12.745,-26.87
35387,10.000,12.921,-32.73
35438,10.000,12.899,-28.54
35489,10.000,12.573,-19.21
35540,10.000,12.979,-37.92
35592,10.000,12.872,-26.56
35643,10.000,12.928,-30.40
35694,10.000,12.997,-31.36
35745,10.000,12.829,-24.93
35796,10.000,12.669,-23.50
35848,10.000,12.745,-28.98
35899,10.000,12.739,-27.26
35950,10.000,12.576,-22.50
36001,10.000,12.444,-21.79
36052,10.000,12.676,-31.41
