#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
32264,13.000,22.671,-89.07
32315,13.000,23.206,-112.77
32366,13.000,23.050,-97.36
32417,13.000,23.466,-112.99
32468,13.000,22.048,-62.12
32520,13.000,22.615,-107.48
32571,13.000,23.381,-119.13
32622,13.000,23.181,-97.83
32673,13.000,22.686,-86.94
32724,13.000,22.541,-92.51
32776,13.000,22.241,-86.41
32827,13.000,22.713,-106.57
32878,13.000,23.214,-112.16
32929,13.000,23.082,-98.17
32980,13.000,22.418,-80.90
33032,13.000,22.171,-86.77
33083,13.000,23.456,-130.27
33134,13.000,23.007,-91.09
33185,13.000,24.037,-130.98
33236,13.000,22.777,-72.57
33288,13.000,23.135,-108.52
33339,13.000,22.394,-79.11
33390,13.000,22.927,-109.94
33441,13.000,23.350,-111.97
33492,13.000,22.857,-88.71
33544,13.000,22.372,-84.01
33595,13.000,23.253,-120.17
33646,13.000,23.323,-104.64
33697,13.000,23.192,-99.31
33748,13.000,23.047,-97.57
33800,13.000,23.148,-103.49
33851,13.000,22.048,-68.47
33902,13.000,22.497,-103.97
33953,13.000,23.394,-121.87
34004,13.000,23.979,-121.50
34056,13.000,22.683,-70.91
34107,13.000,22.297,-85.25
34158,13.000,23.120,-117.66
34209,13.000,22.715,-89.04
34260,13.000,23.620,-124.31
34312,13.000,23.064,-89.51
34363,13.000,22.537,-84.84
34414,13.000,22.181,-84.69
34465,13.000,23.512,-131.75
34516,13.000,23.022,-90.42
34568,13.000,23.973,-128.75
34619,13.000,22.724,-72.25
34670,13.000,23.288,-114.16
34721,13.000,22.380,-75.65
34772,13.000,22.898,-109.33
34824,13.000,22.522,-87.70
34875,13.000,22.099,-82.53
34926,13.000,20.946,-56.41
34977,13.000,20.552,-67.62
35028,13.000,18.540,-15.17
35080,13.000,18.025,-39.94
35131,13.000,16.518,-5.74
35182,13.000,14.546,22.95
35233,13.000,13.145,25.52
35284,13.000,11.809,37.84
35336,13.000,9.989,66.32
35387,13.000,8.718,68.22
35438,13.000,7.368,83.34
35489,13.000,6.737,75.25
35540,13.000,6.401,72.70
35592,13.000,6.265,70.06
35643,13.000,6.545,58.96
35694,13.000,7.004,50.77
35745,13.000,7.727,38.28
35796,13.000,8.622,25.87
35848,13.000,9.702,12.03
35899,13.000,11.089,-7.58
35950,13.000,12.413,-19.47
36001,13.000,13.580,-28.08
36052,13.000,14.283,-26.10
36104,13.000,15.089,-36.64
36155,13.000,16.301,-57.54
36206,13.000,17.334,-64.01
36257,13.000,17.867,-59.33
36308,13.000,18.602,-70.73
36360,13.000,18.370,-49.07
36411,13.000,18.724,-64.32
36462,13.000,19.668,-85.56
36513,13.000,19.577,-63.94
36564,13.000,19.265,-56.42
36616,13.000,19.431,-67.62
36667,13.000,19.099,-54.36
36718,13.000,18.182,-33.46
36769,13.000,18.124,-50.09
36820,13.000,17.592,-35.27
36872,13.000,16.085,-1.33
36923,13.000,16.035,-30.57
36974,13.000,15.804,-25.20
37025,13.000,14.435,10.96
37076,13.000,14.319,-13.22
37128,13.000,13.876,-2.41
37179,13.000,13.579,-2.47
37230,13.000,12.358,28.34
37281,13.000,12.111,11.50
37332,13.000,11.677,19.87
37384,13.000,10.566,44.97
37435,13.000,9.971,41.22
37486,13.000,9.549,42.70
37537,13.000,9.072,49.33
37588,13.000,9.180,37.31
37640,13.000,9.150,41.14
37691,13.000,9.323,36.09
37742,13.000,9.334,39.96
37793,13.000,9.770,27.75
37844,13.000,10.397,18.16
37896,13.000,11.155,8.36
37947,13.000,11.660,8.62
37998,13.000,12.222,2.01
38049,13.000,12.591,2.27
38100,13.000,13.115,-6.10
38152,13.000,13.789,-16.00
38203,13.000,14.187,-14.70
38254,13.000,14.446,-14.79
38305,13.000,14.583,-14.05
38356,13.000,15.464,-38.20
38408,13.000,15.713,-28.62
38459,13.000,16.175,-38.12
38510,13.000,16.694,-45.22
38561,13.000,16.047,-15.99
38612,13.000,16.666,-48.27
38664,13.000,17.135,-50.72
38715,13.000,17.468,-51.35
38766,13.000,17.311,-39.98
38817,13.000,17.058,-35.53
38868,13.000,17.590,-56.52
38920,13.000,16.608,-17.16
38971,13.000,16.971,-48.49
39022,13.000,17.125,-44.32
39073,13.000,16.269,-16.22
39124,13.000,16.007,-26.11
39176,13.000,15.948,-30.14
39227,13.000,15.418,-15.89
39278,13.000,15.479,-28.84
39329,13.000,15.313,-23.10
39380,13.000,14.870,-13.50
39432,13.000,14.289,-5.19
39483,13.000,14.438,-21.57
39534,13.000,14.110,-8.98
39585,13.000,14.135,-16.50
39636,13.000,13.555,1.30
39688,13.000,13.391,-5.49
39739,13.000,13.522,-12.77
39790,13.000,13.380,-6.00
39841,13.000,13.452,-11.07
39892,13.000,13.036,2.83
39944,13.000,13.221,-11.07
39995,13.000,12.627,10.52
40046,13.000,12.551,1.00
40097,13.000,12.692,-4.67
40148,13.000,12.346,8.63
40200,13.000,12.451,-1.31
40251,13.000,12.746,-8.01
40302,13.000,12.232,13.47
40353,13.000,12.785,-13.36
40404,13.000,12.992,-8.52
40456,13.000,12.826,0.64
40507,13.000,12.829,-2.73
40558,13.000,12.941,-6.02
40609,13.000,12.932,-3.49
40660,13.000,12.985,-5.26
40712,13.000,12.832,0.40
40763,13.000,12.741,0.16
40814,13.000,12.122,17.07
40865,13.000,12.305,-0.66
40916,13.000,12.223,5.61
40968,13.000,12.164,5.90
41019,13.000,12.488,-4.89
41070,13.000,12.399,4.37
41121,13.000,12.713,-6.75
41172,13.000,12.821,-3.68
41224,13.000,13.192,-12.70
41275,13.000,13.046,-0.89
41326,13.000,12.935,-0.49
41377,13.000,12.863,-0.52
41428,13.000,13.089,-8.74
41480,13.000,13.196,-7.47
41531,13.000,13.403,-11.65
41582,13.000,13.228,-2.28
41633,13.000,13.420,-11.64
41684,13.000,12.948,6.38
41736,13.000,13.137,-8.74
41787,13.000,13.190,-6.61
41838,13.000,12.789,6.52
41889,13.000,12.605,4.12
41940,13.000,12.438,5.55
41992,13.000,12.339,5.29
42043,13.000,12.446,0.23
42094,13.000,12.363,5.00
42145,13.000,11.994,14.60
42196,13.000,12.120,3.62
42248,13.000,11.829,15.11
42299,13.000,12.058,2.61
42350,13.000,12.075,6.85
42401,13.000,11.862,13.79
42452,13.000,12.459,-8.23
42504,13.000,12.262,9.76
42555,13.000,12.346,3.41
42606,13.000,12.736,-6.56
42657,13.000,12.730,1.48
42708,13.000,12.391,11.67
42760,13.000,12.600,-1.33
42811,13.000,12.591,3.23
42862,13.000,12.839,-4.37
