#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,
#!,For more information visit http://aka.ms/hackingstem/,,
24584,10,24.268,-161.06
24635,10,23.874,-130.85
24686,10,23.356,-123.19
24737,10,24.108,-156.13
24788,10,23.25,-115.34
24840,10,23.678,-145.35
24891,10,24.177,-151.76
24942,10,24.256,-144.13
24993,10,23.093,-107.68
25044,10,23.03,-129.03
25096,10,24.317,-168.92
25147,10,24.037,-134.76
25198,10,23.853,-134.86
25249,10,23.611,-131.27
25300,10,23.45,-131.27
25352,10,23.202,-127.08
25403,10,23.824,-150.68
25454,10,23.164,-118.44
25505,10,23.405,-138.88
25556,10,22.106,-95.07
25608,10,22.379,-129.23
25659,10,21.251,-89.95
25710,10,20.912,-102.36
25761,10,19.257,-59.45
25812,10,19.113,-88.27
25864,10,16.268,-5.78
25915,10,15.341,-34.85
25966,10,13.964,-12.91
26017,10,11.455,34.55
26068,10,9.075,55.95
26120,10,7.132,67.21
26171,10,5.441,79.43
26222,10,5.678,38.47
26273,10,6.147,29.92
26324,10,6.497,29.5
26376,10,7.203,15.87
26427,10,7.861,10.69
26478,10,8.487,5.39
26529,10,9.284,-5.89
26580,10,10.069,-13.49
26632,10,10.804,-20
26683,10,11.415,-23.92
26734,10,12.187,-35.3
26785,10,13.277,-53.24
26836,10,13.842,-49.13
26888,10,14.235,-50.21
26939,10,14.342,-45.56
26990,10,14.71,-54.46
27041,10,14.805,-49.95
27092,10,15.122,-57.57
27144,10,14.96,-46.37
27195,10,14.689,-41.45
27246,10,13.904,-24.12
27297,10,14.009,-42.19
27348,10,13.573,-27.74
27400,10,13.407,-32.14
27451,10,13.519,-39.53
27502,10,12.709,-13.52
27553,10,12.336,-19
27604,10,12.05,-18.3
27656,10,11.381,-4.23
27707,10,11.108,-9.65
27758,10,10.48,3.66
27809,10,10.05,3.96
27860,10,9.671,6.82
27912,10,9.396,7.61
27963,10,9.304,5
28014,10,8.963,13.6
28065,10,8.741,13.68
28116,10,8.615,13.3
28168,10,8.794,5.68
28219,10,9.174,-2
28270,10,9.497,-3.99
28321,10,9.753,-5.14
28372,10,9.733,0.61
28424,10,10.239,-15.01
28475,10,10.605,-15.99
28526,10,11.127,-24.54
28577,10,11.395,-22.43
28628,10,11.682,-26.03
28680,10,11.928,-28.05
28731,10,12.334,-35.76
28782,10,12.702,-39.25
28833,10,12.809,-35.65
28884,10,12.632,-28.73
28936,10,12.682,-34.28
28987,10,12.189,-18.95
29038,10,12.212,-29.95
29089,10,11.836,-18.57
29140,10,11.165,-6.18
29192,10,11.091,-17.6
29243,10,10.801,-10.56
29294,10,10.515,-7.85
29345,10,10.496,-13.12
29396,10,10.017,0.85
29448,10,9.845,-3.52
29499,10,9.636,-0.62
29550,10,9.452,0.84
29601,10,9.464,-3.11
29652,10,9.429,-1.68
29704,10,9.357,-0.12
29755,10,9.27,1.22
29806,10,9.259,-0.05
29857,10,9.143,3.38
29908,10,9.179,0.12
29960,10,9.14,2.22
30011,10,8.965,6.86
30062,10,9.141,-1.72
30113,10,9.299,-2.82
30164,10,9.473,-4.75
30216,10,9.498,-1.95
30267,10,9.569,-3.48
30318,10,9.472,0.96
30369,10,9.599,-4.69
30420,10,9.734,-6.17
30472,10,9.74,-3.61
30523,10,9.55,2.32
30574,10,9.368,4.1
30625,10,9.391,-0.1
30676,10,9.424,-0.54
30728,10,9.578,-4.38
30779,10,9.705,-5.07
30830,10,9.518,3.18
30881,10,9.497,0.16
30932,10,9.56,-2.06
30984,10,9.704,-5.04
31035,10,9.958,-9.78
31086,10,9.98,-5.38
31137,10,10.015,-5.98
31188,10,10.161,-9.67
31240,10,10.519,-17.61
31291,10,10.798,-19
31342,10,10.87,-15.72
31393,10,10.922,-16.05
31444,10,11.143,-21.85
31496,10,11.24,-20.6
31547,10,11.727,-33.62
31598,10,11.67,-22.49
31649,10,11.713,-25.28
31700,10,11.657,-23.06
31752,10,11.82,-29.42
31803,10,12.074,-34.21
31854,10,12.22,-33.94
31905,10,12.07,-26.95
31956,10,11.707,-19.41
32008,10,11.552,-22.3
32059,10,11.743,-31.5
32110,10,11.631,-24.65
32161,10,11.287,-16.81
32212,10,10.985,-14.84
32264,10,10.943,-19.82
32315,10,10.687,-13.09
32366,10,10.654,-17.35
32417,10,10.458,-12.24
32468,10,10.323,-12.18
32520,10,10.04,-6.4
32571,10,9.956,-9.51
32622,10,10.025,-13.27
32673,10,10.107,-14.39
32724,10,10.198,-15.49
32776,10,10.211,-14.12
32827,10,10.173,-12.77
32878,10,10.206,-14.53
32929,10,10.352,-18.33
32980,10,10.342,-15.2
33032,10,10.169,-10.21
33083,10,10.174,-13.89
33134,10,10.007,-8.76
33185,10,10.095,-14.75
33236,10,10.139,-14.36
33288,10,10.159,-14.1
33339,10,10.074,-11.15
33390,10,10.177,-16.01
33441,10,10.261,-16.49
33492,10,10.322,-16.72
33544,10,10.243,-13.19
33595,10,10.219,-14.07
33646,10,10.219,-14.61
33697,10,10.174,-13.28
33748,10,10.249,-16.5
33800,10,10.35,-18.09
33851,10,10.201,-11.64
33902,10,10.14,-12.82
33953,10,10.046,-11.21
34004,10,10.068,-13.79
34056,10,10.177,-16.63
34107,10,10.17,-14.29
34158,10,9.936,-7.4
34209,10,9.923,-11.67
34260,10,9.985,-13.79
34312,10,10.248,-20.49
34363,10,10.284,-16.35
34414,10,10.521,-22.86
34465,10,10.353,-13.16
34516,10,10.622,-24.7
34568,10,10.87,-26.92
34619,10,11.003,-26.18
34670,10,11.064,-25.55
34721,10,10.933,-20.57
34772,10,11.016,-25.91
34824,10,11.058,-25.72
34875,10,11.384,-34.92
34926,10,11.623,-35.92
34977,10,11.374,-23.91
35028,10,11.084,-20.44
35080,10,11.186,-29.5
35131,10,10.953,-20.69
35182,10,11.006,-27.13
35233,10,10.628,-14.85
35284,10,10.47,-17.79
35336,10,10.283,-15.38
35387,10,10.239,-17.86
