#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
56379,10.000,15.891,-58.91
56430,10.000,15.050,-50.50
56481,10.000,14.499,-44.99
56532,10.000,13.743,-37.43
56584,10.000,13.493,-34.93
56635,10.000,12.298,-22.98
56686,10.000,11.793,-17.93
56737,10.000,10.718,-7.18
56788,10.000,9.897,1.03
56840,10.000,9.105,8.95
56891,10.000,8.262,17.38
56942,10.000,7.465,25.35
56993,10.000,6.641,33.59
57044,10.000,5.914,40.86
57096,10.000,5.488,45.12
57147,10.000,5.626,43.74
57198,10.000,5.769,42.31
57249,10.000,6.094,39.06
57300,10.000,6.581,34.19
57352,10.000,7.083,29.17
57403,10.000,7.684,23.16
57454,10.000,8.048,19.52
57505,10.000,8.738,12.62
57556,10.000,9.560,4.40
57608,10.000,10.477,-4.77
57659,10.000,11.079,-10.79
57710,10.000,11.986,-19.86
57761,10.000,12.588,-25.88
57812,10.000,13.304,-33.04
57864,10.000,14.066,-40.66
57915,10.000,14.806,-48.06
57966,10.000,15.111,-51.11
58017,10.000,15.391,-53.91
58068,10.016.005,-60.05
58120,10.000,16.436,-64.36
58171,10.000,16.592,-65.92
58222,10.000,16.715,-67.15
58273,10.000,16.079,-60.79
58324,10.000,15.742,-57.42
58376,10.000,15.931,-59.31
58427,10.000,15.168,-51.68
58478,10.000,14.666,-46.66
58529,10.000,13.883,-38.83
58580,10.000,13.297,-32.97
58632,10.000,12.656,-26.56
58683,10.000,11.851,-18.51
58734,10.000,11.099,-10.99
58785,10.000,10.182,-1.82
58836,10.000,9.133,8.67
58888,10.000,8.428,15.72
58939,10.000,7.557,24.43
58990,10.000,6.740,32.60
59041,10.000,5.814,41.86
59092,10.000,5.400,46.00
59144,10.000,5.471,45.29
59195,10.000,5.708,42.92
59246,10.000,6.227,37.73
59297,10.000,6.594,34.06
59348,10.000,7.111,28.89
59400,10.000,7.744,22.56
59451,10.000,8.173,18.27
59502,10.000,9.001,9.99
59553,10.000,9.835,1.65
59604,10.000,10.430,-4.30
59656,10.000,11.004,-10.04
59707,10.000,11.847,-18.47
59758,10.000,12.579,-25.79
59809,10.000,13.502,-35.02
59860,10.000,13.750,-37.50
59912,10.000,14.510,-45.10
59963,10.000,14.572,-45.72
60014,10.000,15.140,-51.40
60065,10.000,15.903,-59.03
60116,10.000,16.183,-61.83
60168,10.000,15.930,-59.30
60219,10.000,15.767,-57.67
60270,10.000,16.137,-61.37
60321,10.000,15.933,-59.33
60372,10.000,15.814,-58.14
60424,10.000,15.531,-55.31
60475,10.000,15.165,-51.65
60526,10.000,13.959,-39.59
60577,10.000,13.787,-37.87
60628,10.000,13.250,-32.50
60680,10.000,12.478,-24.78
60731,10.000,11.482,-14.82
60782,10.000,10.876,-8.76
60833,10.000,9.966,0.34
60884,10.000,9.165,8.35
60936,10.000,8.320,16.80
60987,10.000,7.307,26.93
61038,10.000,6.479,35.21
61089,10.000,5.727,42.73
61140,10.000,5.498,45.02
61192,10.000,5.663,43.37
61243,10.000,5.858,41.42
61294,10.000,6.261,37.39
61345,10.000,6.618,33.82
61396,10.000,7.186,28.14
61448,10.000,7.904,20.96
61499,10.000,8.707,12.93
61550,10.000,9.385,6.15
61601,10.000,10.073,-0.73
61652,10.000,10.593,-5.93
61704,10.000,11.536,-15.36
61755,10.000,12.424,-24.24
61806,10.000,13.189,-31.89
61857,10.000,13.569,-35.69
61908,10.000,13.738,-37.38
61960,10.000,14.702,-47.02
62011,10.000,15.321,-53.21
62062,10.000,15.793,-57.93
62113,10.000,16.286,-62.86
62164,10.000,16.047,-60.47
62216,10.000,16.116,-61.16
62267,10.000,16.287,-62.87
62318,10.000,16.165,-61.65
62369,10.000,15.867,-58.67
62420,10.000,15.090,-50.90
62472,10.000,14.975,-49.75
62523,10.000,14.147,-41.47
62574,10.000,13.879,-38.79
62625,10.000,13.463,-34.63
62676,10.000,12.775,-27.75
62728,10.000,11.714,-17.14
62779,10.000,11.363,-13.63
62830,10.000,10.472,-4.72
62881,10.000,9.679,3.21
62932,10.000,8.782,12.18
62984,10.000,7.860,21.40
63035,10.000,7.076,29.24
63086,10.000,6.338,36.62
63137,10.000,5.622,43.78
63188,10.000,5.541,44.59
